DateTime,Silver-INR,Silver-USD
24-08-1995 00:00,178.1752,5.6
25-08-1995 00:00,177.5928,5.6
28-08-1995 00:00,178.97452,5.62
29-08-1995 00:00,174.23591,5.47
30-08-1995 00:00,167.83369,5.27
31-08-1995 00:00,170.1591,5.34
01-09-1995 00:00,169.46334,5.31
04-09-1995 00:00,169.1442,5.3
05-09-1995 00:00,169.73932,5.24
06-09-1995 00:00,172.08438,5.33
07-09-1995 00:00,175.18432,5.44
08-09-1995 00:00,173.55342,5.38
11-09-1995 00:00,178.87113,5.51
12-09-1995 00:00,180.50952,5.52
13-09-1995 00:00,178.56555,5.43
14-09-1995 00:00,187.94496,5.52
15-09-1995 00:00,185.772,5.48
18-09-1995 00:00,187.5456,5.55
19-09-1995 00:00,186.4225,5.5
20-09-1995 00:00,183.72405,5.43
21-09-1995 00:00,186.9285,5.5
22-09-1995 00:00,183.57744,5.43
25-09-1995 00:00,184.92192,5.44
26-09-1995 00:00,186.19884,5.49
27-09-1995 00:00,185.1213,5.46
28-09-1995 00:00,186.9725,5.5
29-09-1995 00:00,185.89804,5.48
02-10-1995 00:00,180.07803,5.31
03-10-1995 00:00,179.29397,5.29
04-10-1995 00:00,180.5454,5.34
05-10-1995 00:00,179.6647,5.3
06-10-1995 00:00,182.01615,5.37
09-10-1995 00:00,184.72775,5.45
10-10-1995 00:00,183.98469,5.43
11-10-1995 00:00,183.85437,5.43
12-10-1995 00:00,182.86653,5.39
13-10-1995 00:00,184.7492,5.38
16-10-1995 00:00,184.70526,5.34
17-10-1995 00:00,186.0723,5.34
18-10-1995 00:00,186.7578,5.35
19-10-1995 00:00,187.0297,5.33
20-10-1995 00:00,191.14832,5.36
23-10-1995 00:00,190.6954,5.35
24-10-1995 00:00,190.46,5.35
25-10-1995 00:00,193.29171,5.43
26-10-1995 00:00,192.90322,5.42
27-10-1995 00:00,188.4519,5.31
30-10-1995 00:00,185.9637,5.33
31-10-1995 00:00,183.07656,5.34
01-11-1995 00:00,183.67821,5.31
02-11-1995 00:00,183.8317,5.33
03-11-1995 00:00,183.5101,5.29
06-11-1995 00:00,183.54336,5.28
07-11-1995 00:00,185.456,5.36
08-11-1995 00:00,184.07848,5.36
09-11-1995 00:00,185.7176,5.38
10-11-1995 00:00,187.91936,5.44
13-11-1995 00:00,183.90708,5.32
14-11-1995 00:00,183.97624,5.32
15-11-1995 00:00,184.61448,5.34
16-11-1995 00:00,185.14664,5.32
17-11-1995 00:00,185.98664,5.36
20-11-1995 00:00,186.26025,5.35
21-11-1995 00:00,184.15548,5.29
22-11-1995 00:00,180.75732,5.19
23-11-1995 00:00,181.33926,5.21
24-11-1995 00:00,182.70308,5.24
27-11-1995 00:00,182.25108,5.22
28-11-1995 00:00,182.61591,5.23
29-11-1995 00:00,180.82862,5.18
30-11-1995 00:00,182.54269,5.23
01-12-1995 00:00,181.61,5.2
04-12-1995 00:00,181.5736,5.2
05-12-1995 00:00,182.6926,5.24
06-12-1995 00:00,182.8575,5.25
07-12-1995 00:00,182.55112,5.24
08-12-1995 00:00,182.35026,5.22
11-12-1995 00:00,181.45388,5.21
12-12-1995 00:00,180.30375,5.17
13-12-1995 00:00,178.9696,5.12
14-12-1995 00:00,179.73552,5.14
15-12-1995 00:00,179.37045,5.13
18-12-1995 00:00,180.87245,5.17
19-12-1995 00:00,179.76122,5.14
20-12-1995 00:00,180.7949,5.17
21-12-1995 00:00,180.3427,5.15
22-12-1995 00:00,180.4968,5.16
26-12-1995 00:00,181.0017,5.17
27-12-1995 00:00,180.53325,5.15
28-12-1995 00:00,180.99675,5.15
29-12-1995 00:00,182.19096,5.18
02-01-1996 00:00,187.92528,5.34
03-01-1996 00:00,188.35745,5.35
04-01-1996 00:00,189.98394,5.38
05-01-1996 00:00,195.59016,5.52
08-01-1996 00:00,198.22285,5.53
09-01-1996 00:00,198.31686,5.53
10-01-1996 00:00,200.09405,5.59
11-01-1996 00:00,197.0265,5.5
